Stock,Date,Open,High,Low Close,Adj Close,Volume
AAPL,"Apr 28, 2023",168.49,169.85,167.88,169.68,169.68
AAPL,"Apr 27, 2023",165.19,168.56,165.19,168.41,168.41
AAPL,"Apr 26, 2023",163.06,165.28,162.80,163.76,163.76
AAPL,"Apr 25, 2023",165.19,166.31,163.73,163.77,163.77
AAPL,"Apr 24, 2023",165.00,165.60,163.89,165.33,165.33
AAPL,"Apr 21, 2023",165.05,166.45,164.49,165.02,165.02
AAPL,"Apr 20, 2023",166.09,167.87,165.56,166.65,166.65
AAPL,"Apr 19, 2023",165.80,168.16,165.54,167.63,167.63
AAPL,"Apr 18, 2023",166.10,167.41,165.65,166.47,166.47
AAPL,"Apr 17, 2023",165.09,165.39,164.03,165.23,165.23
AAPL,"Apr 14, 2023",164.59,166.32,163.82,165.21,165.21
AAPL,"Apr 13, 2023",161.63,165.80,161.42,165.56,165.56
AAPL,"Apr 12, 2023",161.22,162.06,159.78,160.10,160.10
AAPL,"Apr 11, 2023",162.35,162.36,160.51,160.80,160.80
AAPL,"Apr 10, 2023",161.42,162.03,160.08,162.03,162.03
AAPL,"Apr 06, 2023",162.43,164.96,162.00,164.66,164.66
AAPL,"Apr 05, 2023",164.74,165.05,161.80,163.76,163.76
AAPL,"Apr 04, 2023",166.60,166.84,165.11,165.63,165.63
AAPL,"Apr 03, 2023",164.27,166.29,164.22,166.17,166.17
AAPL,"Mar 31, 2023",162.44,165.00,161.91,164.90,164.90
AAPL,"Mar 30, 2023",161.53,162.47,161.27,162.36,162.36
AAPL,"Mar 29, 2023",159.37,161.05,159.35,160.77,160.77
AAPL,"Mar 28, 2023",157.97,158.49,155.98,157.65,157.65
AAPL,"Mar 27, 2023",159.94,160.77,157.87,158.28,158.28
AAPL,"Mar 24, 2023",158.86,160.34,157.85,160.25,160.25
AAPL,"Mar 23, 2023",158.83,161.55,157.68,158.93,158.93
AAPL,"Mar 22, 2023",159.30,162.14,157.81,157.83,157.83
AAPL,"Mar 21, 2023",157.32,159.40,156.54,159.28,159.28
AAPL,"Mar 20, 2023",155.07,157.82,154.15,157.40,157.40
AAPL,"Mar 17, 2023",156.08,156.74,154.28,155.00,155.00
AAPL,"Mar 16, 2023",152.16,156.46,151.64,155.85,155.85
AAPL,"Mar 15, 2023",151.19,153.25,149.92,152.99,152.99
AAPL,"Mar 14, 2023",151.28,153.40,150.10,152.59,152.59
AAPL,"Mar 13, 2023",147.81,153.14,147.70,150.47,150.47
AAPL,"Mar 10, 2023",150.21,150.94,147.61,148.50,148.50
AAPL,"Mar 09, 2023",153.56,154.54,150.23,150.59,150.59
AAPL,"Mar 08, 2023",152.81,153.47,151.83,152.87,152.87
AAPL,"Mar 07, 2023",153.70,154.03,151.13,151.60,151.60
AAPL,"Mar 06, 2023",153.79,156.30,153.46,153.83,153.83
